input_color,output_color
#ff00c2,#6fd03c
#ff00c2,#326d8d
#ff00c2,#2ed7eb
#ff00c2,#b8dd4a
#ff00c2,#35a34e
#1be7ff,#6eeb83
#6eeb83,#e4ff1a
#e4ff1a,#e8aa14
#e8aa14,#ff5714
#ff5714,#1be7ff
#31393c,#2176ff
#2176ff,#33a1fd
#33a1fd,#fdca40
#fdca40,#f79824
#f79824,#31393c
#c200fb,#ec0868
#ec0868,#fc2f00
#fc2f00,#ec7d10
#ec7d10,#ffbc0a
#ffbc0a,#c200fb
#fb6107,#f3de2c
#f3de2c,#7cb518
#fbb02d,#fb6107
#ff6d00,#9d4edd
#ff7900,#7b2cbf
#5a189a,#ff8500
#3a86ff,#ff006e
#4C191B,#963D5A
#963D5A,#C589E8
#C589E8,#E3DAFF
#E3DAFF,#ECFFF8
#ECFFF8,#9984D4
#9984D4,#592E83
#592E83,#230C33
#230C33,#B27C66
#C1ABA6,#533B4D
#533B4D,#F564A9
#F564A9,#FAA4BD
#FAA4BD,#FAE3C6
#38023B,#A288E3
#A288E3,#BBD5ED
#BBD5ED,#CEFDFF
#CEFDFF,#CCFFCB
#FAF3DD,#C8D5B9
#C8D5B9,#8FC0A9
#8FC0A9,#68B0AB
#68B0AB,#4A7C59
#4A7C59,#8FC0A9
#202C39,#283845
#283845,#B8B08D
#B8B08D,#F2D492
#F2D492,#F29559
#ECC8AF,#E7AD99
#E7AD99,#CE796B
#CE796B,#C18C5D
#C18C5D,#495867
#D4DCFF,#7D83FF
#7D83FF,#007FFF
#007FFF,#1AFFD5
#1AFFD5,#590925
#CAE7B9,#F3DE8A
#F3DE8A,#EB9486
#EB9486,#7E7F9A
#7E7F9A,#97A7B3
#FAF8D4,#EBDCCB
#EBDCCB,#C3BAAA
#C3BAAA,#91818A
#91818A,#B2A3B5
#9CFFD9,#B6EFD4
#B6EFD4,#A0CCDA
#381D2A,#3E6990
#3E6990,#AABD8C
#AABD8C,#E9E3B4
#E9E3B4,#F39B6D
#3A4F41,#B9314F
#B9314F,#D5A18E
#D5A18E,#DEC3BE
#DEC3BE,#E1DEE3
#B47EB3,#FDF5BF
#FDF5BF,#FFD5FF
#FFD5FF,#92D1C3
#92D1C3,#8BB8A8
#41D3BD,#FFFFF2
#FFFFF2,#791E94
#791E94,#DE6449
#DE6449,#407899
#424342,#244F26
#80A1C1,#EEE3AB
#EEE3AB,#D9CFC1
#D9CFC1,#A77E58
#A77E58,#BA3F1D
#BA3F1D,#80A1C1
#090909,#4B5043
#4B5043,#9BC4BC
#9BC4BC,#D3FFE9
#D3FFE9,#8DDBE0
#880D1E,#DD2D4A
#DD2D4A,#F26A8D
#F26A8D,#F49CBB
#F49CBB,#CBEEF3
#022F40,#38AECC
#38AECC,#0090C1
#0090C1,#183446
#183446,#046E8F
#C7EAE4,#A7E8BD
#A7E8BD,#FCBCB8
#FCBCB8,#EFA7A7
#EFA7A7,#FFD972
#011627,#FF0022
#FF0022,#41EAD4
#41EAD4,#FDFFFC
#FDFFFC,#B91372
#FFFFFF,#3B413C
#9DB5B2,#FFFFFF
#DAF0EE,#FFFFFF
#9DB5B2,#DAF0EE
#DAF0EE,#94D1BE
#048A81,#06D6A0
#06D6A0,#54C6EB
#54C6EB,#8A89C0
#8A89C0,#CDA2AB
#AFD2E9,#9D96B8
#9D96B8,#9A7197
#9A7197,#886176
#886176,#7C5869
#9A7197,#7C5869
#9D96B8,#886176
#CEE0DC,#B9CFD4
#B9CFD4,#AFAAB9
#AFAAB9,#B48291
#B48291,#A5243D
#CFFCFF,#AAEFDF
#AAEFDF,#9EE37D
#D3C4E3,#8F95D3
#FFC9B5,#F7B1AB
#F7B1AB,#D8AA96
#D8AA96,#807182
#807182,#C7D3BF
#30362F,#625834
#625834,#A59132
#A59132,#FFFBDB
#FFFBDB,#DA7422
#DFD6A7,#F7CE5B
#F7CE5B,#F7B05B
#F7B05B,#AF9B46
#AF9B46,#1F1300
#6C9A8B,#E8998D
#E8998D,#EED2CC
#EED2CC,#FBF7F4
#FBF7F4,#A1683A
#FE5F55,#F0B67F
#F0B67F,#D6D1B1
#D6D1B1,#C7EFCF
#C7EFCF,#EEF5DB
#C6D8FF,#71A9F7
#71A9F7,#6B5CA5
#6B5CA5,#72195A
#72195A,#4C1036
#517664,#2D3319
#584D3D,#9F956C
#9F956C,#CBBF7A
#CBBF7A,#F4E87C
#F4E87C,#EBF38B
#EAF0CE,#C0C5C1
#C0C5C1,#7D8491
#7D8491,#574B60
#574B60,#3F334D
#102542,#F87060
#F87060,#CDD7D6
#CDD7D6,#B3A394
#B3A394,#FFFFFF
#565656,#B2FFA9
#FF4A1C,#81523F
#81523F,#3F2A2B
#2E0014,#442220
#442220,#809848
#463F3A,#8A817C
#8A817C,#BCB8B1
#BCB8B1,#F4F3EE
#F4F3EE,#E0AFA0
#4F6D7A,#C0D6DF
#C0D6DF,#DBE9EE
#DBE9EE,#4A6FA5
#4A6FA5,#166088
#4381C1,#BDADEA
#BDADEA,#BEA2C2
#A37871,#4E4B5C
#FF0000,#004777
#EFD28D,#004777
#EFD28D,#00AFB5
#00AFB5,#251605
#29335C,#FF0000
#0022FF,#000F08
#0022FF,#080705
#0022FF,#60AFFF
#0022FF,#E3B505
#DAA89B,#AE847E
#AE847E,#2C0E37
#2C0E37,#690375
#690375,#CB429F
#042940,#005C53
#005C53,#9FC131
#9FC131,#DBF227
#DBF227,#D6D58E
#034159,#025951
#41BFB3,#9BF2EA
#9BF2EA,#275950
#275950,#260101
#DB8084,#23314A
#23314A,#8FA1B1
#8FA1B1,#DB8084
#bd102d,#883240
#883240,#420c1a
#420c1a,#12151f
#12151f,#96a9ae
#1c1d1c,#252c35
#252c35,#6f849c
#6f849c,#e35760
#e35760,#bd0d22
#212786,#5163c2
#5163c2,#b2bae4
#b2bae4,#edf3fe
#edf3fe,#df8b1a
#201106,#8d6644
#8d6644,#b4916e
#b4916e,#f7ede0
#f7ede0,#fdfeff
#c9c9ea,#e8ecdf
#e8ecdf,#ddd2d3
#ddd2d3,#ceacc4
#af90b6,#edd962
#edd962,#de9701
#de9701,#262f06
#262f06,#000101
#281d0e,#5925bd
#5925bd,#aa6afa
#aa6afa,#cec3fe
#cec3fe,#edf3ae
#ecbc00,#feff1c
#feff1c,#be8bd2
#be8bd2,#69417d
#69417d,#34142c
#24012f,#572854
#572854,#8f5e6b
#8f5e6b,#c5948c
#c5948c,#fffae8
#d13e59,#fe7ab0
#fe7ab0,#a0e2d8
#a0e2d8,#497b63
#900056,#d23db9
#d23db9,#eceeea
#eceeea,#86a528
#86a528,#2e3e00
#f7ebf4,#62806c
#033736,#b6667d
#081305,#395112
#2d3b2b,#740c59
#53503c,#591934
#da3d75,#ff9ac7
#ff9ac7,#ffd3ec
#ffd3ec,#88bc7a
#88bc7a,#da6a31
#1d2c01,#880015
#2d4800,#528501
#528501,#a9d11c
#a9d11c,#eaabcd
#eaabcd,#c0047b
#c0047b,#2d4800
#550445,#8b3d78
#8b3d78,#c96588
#c96588,#e691c7
#e691c7,#5f73b3
#5f73b3,#550445
#551c22,#f1197b
#f1197b,#f9aed1
#f9aed1,#d0dfbf
#d0dfbf,#7bae5d
#7bae5d,#551c22
#da6a31,#da3d75
#272a15,#3a5a01
#E8A87C,#C38D9E
#C38D9E,#41B3A3
#41B3A3,#E27D60
#242582,#553D67
#553D67,#F64C72
#F64C72,#99738E
#99738E,#2F2FA2
#2F2FA2,#242582
#8EE4AF,#EDF5E1
#5CDB95,#05386B
#000000,#FC4445
#FC4445,#3FEEE6
#55BCC9,#97CAEF
#111111,#8EE4AF
#8EE4AF,#EDF5E1
#EDF5E1,#5CDB95
#5CDB95,#907163
#907163,#379683
#5D5C61,#379683
#557A95,#B1A296
#2E1114,#501B1D
#501B1D,#64485C
#64485C,#83677B
#83677B,#ADADAD
#ADADAD,#2E1114
#0C0032,#190061
#190061,#240091
#240091,#3500D3
#3500D3,#282828
#1A1A1D,#4E4E50
#4E4E50,#6F2232
#6F2232,#950740
#950740,#C3073F
#AFD275,#E7717D
#C36218,#8F995D
#8F995D,#EBD47E
#EBD47E,#EFDECD
#EFDECD,#C36218
#5D001E,#E3E2DF
#E3E2DF,#E3AFBC
#E3AFBC,#9A1750
#9A1750,#EE4C7C
#D79922,#EFE2BA
#EFE2BA,#F13C20
#F13C20,#4056A1
#4056A1,#C5CBE3
#EDC7B7,#EEE2DC
#EEE2DC,#BAB2B5
#BAB2B5,#123C69
#123C69,#AC3B61
#AC3B61,#EDC7B7
#AC3B61,#EEE2DC
#2C3531,#116466
#116466,#D9B08C
#D9B08C,#FFCB9A
#FFCB9A,#D1E8E2
#116466,#FFCB9A
#272727,#747474
#747474,#FF652F
#FF652F,#FFE400
#FFE400,#14A76C
#2F4454,#2E151B
#2E151B,#DA7B93
#DA7B93,#376E6F
#376E6F,#1C3334
#2F4454,#DA7B93
#2F4454,#376E6F
#2F4454,#1C3334
#EAE7DC,#E85A4F
#D83F87,#2A1B3D
#2A1B3D,#44318D
#44318D,#E98074
#E98074,#A4B3B6
#44318D,#D83F87
#5680E9,#84CEEB
#84CEEB,#5AB9EA
#5AB9EA,#C1C834
#C1C834,#8860D0
#8860D0,#5680E9
#8860D0,#5AB9EA
#88BDBC,#254E58
#254E58,#112D32
#112D32,#4F4A41
#4F4A41,#6E6658
#25274D,#464866
#464866,#AAABB8
#AAABB8,#2E9CCA
#2E9CCA,#29648A
#29648A,#25274D
#17252A,#2B7A78
#2B7A78,#3AAFA9
#3AAFA9,#DEF2F1
#DEF2F1,#FEFFFF
#3AAFA9,#FEFFFF
#3AAFA9,#17252A
#F8E9A1,#F76C6C
#F76C6C,#A8D0E6
#A8D0E6,#374785
#374785,#24305E
#24305E,#A8D0E6
#A8D0E6,#F8E9A1
#A64AC9,#FCCD04
#FCCD04,#FFB48F
#FFB48F,#F5E6CC
#F5E6CC,#17E9E0
#A64AC9,#17E9E0
#17E9E0,#FCCD04
#61892F,#86C232
#86C232,#222629
#222629,#474B4F
#474B4F,#6B6E70
#222629,#FEFFFF
#FA3D26,#46344E
#46344E,#5A5560
#5A5560,#9D8D8F
#9D8D8F,#9B786F
#182628,#65CCB8
#65CCB8,#57BA98
#57BA98,#3B945E
#3B945E,#F2F2F2
#65CCB8,#F2F2F2
#F2F2F2,#182628
#687864,#31708E
#31708E,#5085A5
#5085A5,#8FC1E3
#8FC1E3,#F7F9FB
#A1C3D1,#B39BC8
#B39BC8,#F0EBF4
#F0EBF4,#F172A1
#F172A1,#E64398
#E64398,#A1C3D1
#A1C3D1,#F172A1
#A1C3D1,#E64398
#59253A,#78244C
#78244C,#895061
#895061,#0677A1
#0677A1,#2D4159
#2D4159,#59253A
#59253A,#FFFFFF
#10E7DC,#0074E1
#0074E1,#1B9CE5
#1B9CE5,#6CDAEE
#6CDAEE,#F79E02
#F79E02,#0074E1
#F79E02,#1B9CE5
#4285F4,#5C2018
#5C2018,#BC4639
#BC4639,#D4A59A
#D4A59A,#F3E0DC
#D4A59A,#5C2018
#4285F4,#D4A59A
#080F5B,#0D19A3
#0D19A3,#15DB95
#15DB95,#F4E4C1
#F4E4C1,#E4C580
